Tag;Datum;Zeit;Home;Away;Resultat;Drittel;OT/SO;Status;Versch.;Stadion;Zus.;Id;Liga;Region;Phase
Fr;20.10.2017;19:45;HC Ambri-Piotta;Fribourg-Gottéron; 2:1; 1:0|0:0|0:1|1:0;OT;Ende;False;Stadio Valascia, 6775 Ambri TI;4628;20181105000085;NL;CH;Regular Season
Fr;20.10.2017;19:45;SC Bern;Genève-Servette HC; 3:2; 2:0|0:0|0:2|1:0;SO;Ende;False;PostFinance-Arena, 3014 Bern BE;15838;20181105000086;NL;CH;Regular Season
Fr;20.10.2017;19:45;EHC Biel-Bienne;Lausanne HC; 3:4; 2:1|1:2|0:0|0:1;SO;Ende;False;Tissot Arena, 2504 Biel/Bienne BE;5027;20181105000087;NL;CH;Regular Season
Fr;20.10.2017;19:45;HC Davos;EHC Kloten; 4:1; 1:0|2:1|1:0;;Ende;False;Vaillant Arena, 7270 Davos-Platz GR;4196;20181105000088;NL;CH;Regular Season
Fr;20.10.2017;19:45;EV Zug;SCL Tigers; 1:3; 0:1|0:0|1:2;;Ende;False;BOSSARD Arena, 6303 Zug;6784;20181105000090;NL;CH;Regular Season
Di;24.10.2017;19:45;Fribourg-Gottéron;ZSC Lions; 2:3; 1:1|0:1|1:0|0:1;SO;Ende;False;BCF Arena, 1700 Fribourg FR;5587;20181105000091;NL;CH;Regular Season
Di;24.10.2017;19:45;Genève-Servette HC;EHC Biel-Bienne; 4:1; 1:0|3:0|0:1;;Ende;False;Les Vernets, 1227 Les Acacias GE;5469;20181105000092;NL;CH;Regular Season
Di;24.10.2017;19:45;EHC Kloten;EV Zug; 4:3; 1:2|0:1|2:0|1:0;OT;Ende;False;SWISS Arena, 8302 Kloten ZH;4634;20181105000093;NL;CH;Regular Season
Di;24.10.2017;19:45;Lausanne HC;HC Davos; 4:3; 1:1|1:2|1:0|1:0;SO;Ende;False;Centre Sportif Malley, 1008 Lausanne VD;5777;20181105000094;NL;CH;Regular Season
Di;24.10.2017;19:45;HC Lugano;SC Bern; 2:0; 1:0|0:0|1:0;;Ende;False;Piste Resega, 6948 Porza Ti;5462;20181105000095;NL;CH;Regular Season
Di;24.10.2017;20:20;SCL Tigers;HC Ambri-Piotta; 3:2; 1:1|1:0|0:1|1:0;SO;Ende;False;Ilfishalle, 3550 Langnau im Emmental BE;5557;20181105000096;NL;CH;Regular Season
Fr;27.10.2017;19:45;HC Ambri-Piotta;HC Davos; 7:5; 3:3|2:1|2:1;;Ende;False;Stadio Valascia, 6775 Ambri TI;4571;20181105000097;NL;CH;Regular Season
Fr;27.10.2017;19:45;EHC Biel-Bienne;ZSC Lions; 2:4; 0:2|0:2|2:0;;Ende;False;Tissot Arena, 2504 Biel/Bienne BE;4886;20181105000098;NL;CH;Regular Season
Fr;27.10.2017;19:45;Genève-Servette HC;SCL Tigers; 4:5; 1:1|3:2|0:1|0:1;OT;Ende;False;Les Vernets, 1227 Les Acacias GE;6620;20181105000099;NL;CH;Regular Season
Fr;27.10.2017;19:45;EHC Kloten;Fribourg-Gottéron; 3:2; 0:0|2:0|0:2|1:0;SO;Ende;False;SWISS Arena, 8302 Kloten ZH;5324;20181105000100;NL;CH;Regular Season
Fr;27.10.2017;19:45;Lausanne HC;SC Bern; 2:4; 0:4|1:0|1:0;;Ende;False;Centre Sportif Malley, 1008 Lausanne VD;6601;20181105000101;NL;CH;Regular Season
Sa;28.10.2017;19:45;SC Bern;EHC Biel-Bienne; 4:1; 1:1|1:0|2:0;;Ende;False;PostFinance-Arena, 3014 Bern BE;17003;20181105000103;NL;CH;Regular Season
Sa;28.10.2017;19:45;HC Davos;EV Zug; 4:3; 2:0|1:2|1:1;;Ende;False;Vaillant Arena, 7270 Davos-Platz GR;4900;20181105000104;NL;CH;Regular Season
Sa;28.10.2017;19:45;HC Lugano;Lausanne HC; 6:4; 2:2|1:2|3:0;;Ende;False;Piste Resega, 6948 Porza Ti;5604;20181105000106;NL;CH;Regular Season
Di;31.10.2017;19:45;SCL Tigers;EHC Kloten; 2:3; 2:0|0:1|0:1|0:1;SO;Ende;False;Ilfishalle, 3550 Langnau im Emmental BE;5355;20181105000107;NL;CH;Regular Season
