Tag;Datum;Zeit;Home;Away;Resultat;Drittel;OT/SO;Status;Versch.;Stadion;Zus.;TV/Online;Id;Liga;Region;Phase
Di;13.04.2021;20:00;Lausanne HC;ZSC Lions; 3:2; 1:1|1:1|0:0|1:0;OT;Ende;False;Vaudoise Aréna, 1008 Lausanne VD;0;MYSPORTS;20211105000324;NL;CH;Playoff 1/4 Final
Do;15.04.2021;20:00;SC Bern;EV Zug; 6:2; 3:1|1:0|2:1;;Ende;False;PostFinance-Arena, 3014 Bern BE;0;MYSPORTS;20211105000325;NL;CH;Playoff 1/4 Final
Do;15.04.2021;20:00;SC Rapperswil-Jona Lakers;HC Lugano; 4:1; 2:0|1:0|1:1;;Ende;False;St.Galler Kantonalbank Arena, 8640 Rapperswil SG;0;SRF,RTS,RSI,MYSPORTS;20211105000326;NL;CH;Playoff 1/4 Final
Do;15.04.2021;20:00;Genève-Servette HC;Fribourg-Gottéron; 3:1; 1:0|0:1|2:0;;Ende;False;Les Vernets, 1227 Les Acacias GE;0;MYSPORTS;20211105000327;NL;CH;Playoff 1/4 Final
Do;15.04.2021;20:00;ZSC Lions;Lausanne HC; 5:0; 1:0|2:0|2:0;;Ende;False;Hallenstadion, 8050 Zürich ZH;0;SRF,RTS,RSI,MYSPORTS;20211105000328;NL;CH;Playoff 1/4 Final
Sa;17.04.2021;20:00;EV Zug;SC Bern; 3:0; 0:0|1:0|2:0;;Ende;False;BOSSARD Arena, 6303 Zug;0;MYSPORTS;20211105000329;NL;CH;Playoff 1/4 Final
Sa;17.04.2021;20:00;HC Lugano;SC Rapperswil-Jona Lakers; 2:3; 1:1|1:1|0:0|0:1;OT;Ende;False;Cornèr Arena, 6948 Porza Ti;0;SRF,RTS,RSI,MYSPORTS;20211105000330;NL;CH;Playoff 1/4 Final
Sa;17.04.2021;20:00;Fribourg-Gottéron;Genève-Servette HC; 3:8; 1:1|0:3|2:4;;Ende;False;BCF Arena, 1700 Fribourg FR;0;MYSPORTS;20211105000331;NL;CH;Playoff 1/4 Final
Sa;17.04.2021;20:00;Lausanne HC;ZSC Lions; 0:3; 0:1|0:0|0:2;;Ende;False;Vaudoise Aréna, 1008 Lausanne VD;0;SRF,RTS,RSI,MYSPORTS;20211105000332;NL;CH;Playoff 1/4 Final
Mo;19.04.2021;20:00;SC Bern;EV Zug; 6:2; 3:1|0:1|3:0;;Ende;False;PostFinance-Arena, 3014 Bern BE;50;SRF,RTS,RSI,MYSPORTS;20211105000333;NL;CH;Playoff 1/4 Final
Mo;19.04.2021;20:00;SC Rapperswil-Jona Lakers;HC Lugano; 3:1; 2:0|0:0|1:1;;Ende;False;St.Galler Kantonalbank Arena, 8640 Rapperswil SG;50;MYSPORTS;20211105000334;NL;CH;Playoff 1/4 Final
