Tag;Datum;Zeit;Home;Away;Resultat;Drittel;OT/SO;Status;Versch.;Stadion;Zus.;Id;Liga;Region;Phase
Fr;25.09.2015;19:45;Lausanne HC;EV Zug; 2:5; 0:0|1:2|1:3;;Ende;False;P. de Malley, Lausanne;5850;20161105071035;NL A;CH;Regular Season
Fr;25.09.2015;19:45;ZSC Lions;EHC Kloten; 3:4; 0:2|1:1|2:1;;Ende;False;Hallenstadion AG, Zürich;9581;20161105071036;NL A;CH;Regular Season
Fr;25.09.2015;19:48;Genève-Servette HC;EHC Biel-Bienne; 3:2; 1:0|0:1|2:1;;Ende;False;Les Vernets, Genève;5956;20161105071033;NL A;CH;Regular Season
Sa;26.09.2015;19:45;SC Bern;ZSC Lions; 1:2; 0:1|1:1|0:0;;Ende;False;PostFinance-Arena, Bern;15503;20161105071037;NL A;CH;Regular Season
Sa;26.09.2015;19:45;EHC Biel-Bienne;HC Ambri-Piotta; 0:5; 0:2|0:1|0:2;;Ende;False;Tissot Arena, Biel-Bienne;5883;20161105071038;NL A;CH;Regular Season
Sa;26.09.2015;19:45;Fribourg-Gottéron;Lausanne HC; 2:0; 1:0|0:0|1:0;;Ende;False;BCF Arena, Fribourg;6700;20161105071039;NL A;CH;Regular Season
Sa;26.09.2015;19:45;EHC Kloten;HC Davos; 5:1; 0:1|5:0|0:0;;Ende;False;SWISS Arena, Kloten;4710;20161105071040;NL A;CH;Regular Season
Sa;26.09.2015;19:45;EV Zug;SCL Tigers; 5:0; 4:0|1:0|0:0;;Ende;False;BOSSARD Arena, Zug;6622;20161105071042;NL A;CH;Regular Season
So;27.09.2015;15:45;HC Davos;SC Bern; 3:1; 2:0|0:0|1:1;;Ende;False;Vaillant Arena, Davos;5048;20161105071032;NL A;CH;Regular Season
Fr;02.10.2015;19:45;HC Ambri-Piotta;EV Zug; 1:4; 0:3|0:1|1:0;;Ende;False;Stadio Valascia, Ambri;5256;20161105071043;NL A;CH;Regular Season
Fr;02.10.2015;19:45;HC Davos;SCL Tigers; 4:2; 1:1|1:0|2:1;;Ende;False;Vaillant Arena, Davos;4049;20161105071044;NL A;CH;Regular Season
Fr;02.10.2015;19:45;Fribourg-Gottéron;EHC Biel-Bienne; 6:1; 1:0|1:0|4:1;;Ende;False;BCF Arena, Fribourg;6079;20161105071045;NL A;CH;Regular Season
